[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[HUMAN]    en.wikipedia.org | drift=0.49ms | exec=0.07ms | total=0.56ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.88ms | exec=0.06ms | total=0.94ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.37ms | exec=0.08ms | total=0.45ms | DEADLINE MET 
[HUMAN]    zh.wikipedia.org | drift=1.81ms | exec=0.16ms | total=1.97ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.59ms | exec=0.12ms | total=0.70ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.78ms | exec=0.12ms | total=0.90ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.49ms | exec=0.07ms | total=0.56ms | DEADLINE MET 
[BOT  ]    ru.wikipedia.org | drift=0.80ms | exec=0.05ms | total=0.85ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.69ms | exec=0.08ms | total=0.77ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.48ms | exec=0.08ms | total=0.55ms | DEADLINE MET 
[HUMAN]    ja.wikipedia.org | drift=1.38ms | exec=0.08ms | total=1.46ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.88ms | exec=0.09ms | total=0.97ms | DEADLINE MET 
[BOT  ]    ur.wikipedia.org | drift=1.36ms | exec=0.09ms | total=1.45ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.44ms | exec=0.10ms | total=1.54ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.02ms | exec=0.05ms | total=1.07ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.52ms | exec=0.08ms | total=0.59ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.24ms | exec=0.06ms | total=1.31ms | DEADLINE MET 
[HUMAN]    zh.wikipedia.org | drift=1.29ms | exec=0.07ms | total=1.36ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=1.45ms | exec=0.06ms | total=1.51ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.07ms | exec=0.06ms | total=0.12ms | DEADLINE MET 
[BOT  ]    fr.wikipedia.org | drift=1.46ms | exec=0.06ms | total=1.52ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.25ms | exec=0.11ms | total=0.36ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.33ms | exec=0.08ms | total=1.40ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.20ms | exec=0.08ms | total=0.28ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.44ms | exec=0.14ms | total=0.57ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.50ms | exec=0.09ms | total=1.58ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.77ms | exec=0.10ms | total=1.87ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.46ms | exec=0.08ms | total=0.54ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.15ms | exec=0.10ms | total=0.26ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.81ms | exec=0.21ms | total=1.03ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.23ms | exec=0.09ms | total=0.33ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=0.55ms | exec=0.10ms | total=0.66ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.05ms | exec=0.11ms | total=1.16ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=2.04ms | exec=0.08ms | total=2.12ms | DEADLINE MISS
[HUMAN]    es.wikipedia.org | drift=0.72ms | exec=0.05ms | total=0.77ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.19ms | exec=0.05ms | total=1.24ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.36ms | exec=0.10ms | total=1.46ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.58ms | exec=0.19ms | total=1.77ms | DEADLINE MET 
[BOT  ]    fr.wikipedia.org | drift=0.46ms | exec=0.15ms | total=0.61ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.13ms | exec=0.24ms | total=0.37ms | DEADLINE MET 
[BOT  ]    ca.wikipedia.org | drift=1.72ms | exec=0.16ms | total=1.89ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.05ms | exec=0.13ms | total=0.18ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.37ms | exec=0.08ms | total=0.45ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.18ms | exec=0.08ms | total=1.26ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.41ms | exec=0.05ms | total=1.47ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.64ms | exec=0.13ms | total=0.77ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.20ms | exec=0.10ms | total=0.30ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.59ms | exec=0.09ms | total=0.68ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.97ms | exec=0.07ms | total=1.03ms | DEADLINE MET 
