[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[INGEST] Read error: error decoding response body
[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[HUMAN]    ja.wikipedia.org | drift=0.06ms | exec=0.08ms | total=0.14ms | DEADLINE MET 
[HUMAN]    fr.wikipedia.org | drift=0.16ms | exec=0.04ms | total=0.20ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=1.08ms | exec=0.05ms | total=1.14ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.79ms | exec=0.19ms | total=0.98ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.75ms | exec=0.06ms | total=0.81ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.00ms | exec=0.06ms | total=1.06ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.35ms | exec=0.14ms | total=1.49ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.13ms | exec=0.04ms | total=0.18ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.41ms | exec=0.13ms | total=1.54ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.92ms | exec=0.08ms | total=1.01ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.12ms | exec=0.10ms | total=1.22ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.19ms | exec=0.09ms | total=1.28ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.55ms | exec=0.05ms | total=0.60ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.30ms | exec=0.08ms | total=1.38ms | DEADLINE MET 
[BOT  ]    ce.wikipedia.org | drift=0.18ms | exec=0.05ms | total=0.23ms | DEADLINE MET 
[HUMAN]    en.wiktionary.org | drift=1.01ms | exec=0.04ms | total=1.05ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.94ms | exec=0.04ms | total=0.97ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.02ms | exec=0.07ms | total=0.08ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.33ms | exec=0.04ms | total=1.37ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.75ms | exec=0.14ms | total=0.89ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.29ms | exec=0.13ms | total=0.42ms | DEADLINE MET 
[HUMAN]    ur.wikipedia.org | drift=1.52ms | exec=0.11ms | total=1.63ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.44ms | exec=0.11ms | total=0.55ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.90ms | exec=0.15ms | total=1.05ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.87ms | exec=0.08ms | total=0.96ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.13ms | exec=0.08ms | total=0.21ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.25ms | exec=0.20ms | total=0.45ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.74ms | exec=0.10ms | total=0.84ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.19ms | exec=0.11ms | total=0.30ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.41ms | exec=0.09ms | total=0.50ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.27ms | exec=0.09ms | total=1.36ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.04ms | exec=0.05ms | total=1.09ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.33ms | exec=0.05ms | total=0.38ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.42ms | exec=0.13ms | total=0.55ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.14ms | exec=0.12ms | total=1.26ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.37ms | exec=0.07ms | total=0.43ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.12ms | exec=0.06ms | total=1.18ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=1.48ms | exec=0.04ms | total=1.52ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.16ms | exec=0.04ms | total=0.20ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.56ms | exec=0.04ms | total=1.60ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.10ms | exec=0.10ms | total=0.19ms | DEADLINE MET 
[BOT  ]    ba.wikipedia.org | drift=0.05ms | exec=0.05ms | total=0.10ms | DEADLINE MET 
